Offer SKU;Product SKU;Category code;Category label;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;EAN;Inactivity reason;Fulfillment center code
0005825400;M5056798457927;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Rosabella' Real Leather Purse;New;33.32;49.99;999;;INIT;yes;;;33.32;;;5056798457927;;DEFAULT
0005308100;M5061027914102;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Antrim' Chic Real Leather Shoulder Bag;New;65.32;129.00;21;;INIT;yes;;;65.32;;;5061027914102;;DEFAULT
0005460701;M5056798447270;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Vento' Real Leather Biker Jacket;New;211.72;269.00;5;;INIT;yes;;;211.72;;;5056798447270;;DEFAULT
0005826000;M5056798457880;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Stellara' Real Leather Purse;New;33.32;49.99;249;;INIT;yes;;;33.32;;;5056798457880;;DEFAULT
0005246606;M5056798406482;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Anne' Leather Jacket with Adjustable Waist String;New;225.32;239.00;1;;INIT;yes;;;225.32;;;5056798406482;;DEFAULT
0004416500;M5061042995421;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Perfezione' Three Section Vintage Woven Leather Shoulder Bag;New;79.99;79.99;3;;INIT;yes;;;;;;5061042995421;;DEFAULT
0005149300;M5061042994868;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Real Leather Vintage Medium  Shoulder Bag;New;99.00;99.00;2;;INIT;yes;;;;;;5061042994868;;DEFAULT
0004615300;M5060999709259;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'802' Real Leather 4 Card Billfold Wallet;New;31.99;44.99;0;;INIT;no;;;31.99;;;5060999709259;Out of stock;DEFAULT
0004351406;M5061049602094;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Vincenzo' Mens Leather Biker Jacket;New;180.27;189.00;7;;INIT;yes;;;180.27;;;5061049602094;;DEFAULT
0001870603;M5056798419987;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Chambery' Collarless Real Leather Jacket;New;139.99;189.00;29;;INIT;yes;;;139.99;;;5056798419987;;DEFAULT
0004888108;M5061042994646;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Donna Milano' Real Leather Fashion Biker Style Jacket;New;153.32;219.00;3;;INIT;yes;;;153.32;;;5061042994646;;DEFAULT
0005443300;M5056798442060;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Stellia' Real Leather Crossbody Bag with Twist Lock;New;106.66;140.00;149;;INIT;yes;;;106.66;;;5056798442060;;DEFAULT
0004727907;M5056798426503;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Andrea' Leather Biker Jacket;New;145.98;209.00;1;;INIT;yes;;;145.98;;;5056798426503;;DEFAULT
0004053607;M5056798422505;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Ciara' Real Leather Biker Jacket;New;219.99;249.00;5;;INIT;yes;;;219.99;;;5056798422505;;DEFAULT
0004927000;M5061027911194;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Tesoro di Bologna' Real Leather Shoulder Bag;New;53.32;110.00;0;;INIT;no;;;53.32;;;5061027911194;Out of stock;DEFAULT
0005350200;M5056798408783;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;'Voyager' Real Leather Holdall;New;173.32;250.00;50;;INIT;yes;;;173.32;;;5056798408783;;DEFAULT
0005454200;M5056798444194;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Real Leather X Canvas Backpack;New;99.99;155.00;6;;INIT;yes;;;99.99;;;5056798444194;;DEFAULT
0005454500;M5056798444224;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Exquisite Real Leather X Canvas Holdall;New;133.32;220.00;2;;INIT;yes;;;133.32;;;5056798444224;;DEFAULT
0005815800;M5056798447089;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Classic A4 Leather Flap-Over Messenger Bag;New;86.65;130.00;5;;INIT;yes;;;86.65;;;5056798447089;;DEFAULT
0005320606;M5056798419437;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;Real Leather Mandarin Collar Biker Jacket;New;185.60;239.00;11;;INIT;yes;;;185.60;;;5056798419437;;DEFAULT
